timestamp_ns,image_filename,range_center_m,aruco_x_norm,cmd_linear_x,cmd_angular_z
1774908818209431888,1774908818209431888.png,nan,0.0,0.0,0.0
1774908818376180796,1774908818376180796.png,nan,0.0,0.0,0.0
1774908818549058296,1774908818549058296.png,nan,0.0,0.0,0.0
1774908818655259573,1774908818655259573.png,nan,0.0,0.0,0.0
1774908818738624166,1774908818738624166.png,nan,0.0,0.0,0.0
1774908818782678777,1774908818782678777.png,nan,0.0,0.0,0.0
1774908818837305888,1774908818837305888.png,nan,0.0,0.0,0.0
1774908818934933980,1774908818934933980.png,nan,0.0,0.0,0.0
1774908819047555184,1774908819047555184.png,nan,0.0,0.0,0.0
1774908819141114480,1774908819141114480.png,nan,0.0,0.0,0.0
1774908819193595647,1774908819193595647.png,nan,0.0,0.0,0.0
1774908819288205517,1774908819288205517.png,nan,0.0,0.0,0.0
1774908819375854110,1774908819375854110.png,nan,0.0,0.0,0.0
1774908819438962758,1774908819438962758.png,nan,0.0,0.0,0.0
1774908819555907647,1774908819555907647.png,nan,0.0,0.0,0.0
1774908819631404350,1774908819631404350.png,nan,0.0,0.0,0.0
1774908819755151980,1774908819755151980.png,nan,0.0,0.0,0.0
1774908819794700795,1774908819794700795.png,nan,0.0,0.0,0.0
1774908819845709961,1774908819845709961.png,nan,0.0,0.0,0.0
1774908819994414702,1774908819994414702.png,nan,0.0,0.0,0.0
1774908820076032906,1774908820076032906.png,nan,0.0,0.0,0.0
1774908820171159758,1774908820171159758.png,nan,0.0,0.0,0.0
1774908820257209146,1774908820257209146.png,nan,0.0,0.0,0.0
1774908820336198350,1774908820336198350.png,nan,0.0,0.0,0.0
1774908820467509961,1774908820467509961.png,nan,0.0,0.0,0.0
1774908820533786646,1774908820533786646.png,nan,0.0,0.0,0.0
1774908820613503202,1774908820613503202.png,nan,0.0,0.0,0.0
1774908820639550424,1774908820639550424.png,nan,0.0,0.0,0.0
1774908820720275998,1774908820720275998.png,nan,0.0,0.0,0.0
1774908820822123553,1774908820822123553.png,nan,0.0,0.0,0.0
1774908820880686702,1774908820880686702.png,nan,0.0,0.0,0.0
1774908820907901720,1774908820907901720.png,nan,0.0,0.0,0.0
1774908820969426720,1774908820969426720.png,nan,0.0,0.0,0.0
1774908821029484461,1774908821029484461.png,nan,0.0,0.0,0.0
1774908821094276831,1774908821094276831.png,nan,0.0,0.0,0.0
1774908821121747442,1774908821121747442.png,nan,0.0,0.0,0.0
1774908821233247461,1774908821233247461.png,nan,0.0,0.0,0.0
1774908821312764738,1774908821312764738.png,nan,0.0,0.0,0.0
1774908821393727423,1774908821393727423.png,nan,0.0,0.0,0.0
1774908821509353164,1774908821509353164.png,nan,0.0,0.0,0.0
1774908821590797868,1774908821590797868.png,nan,0.0,0.0,0.0
1774908821626986460,1774908821626986460.png,nan,0.0,0.0,0.0
1774908821701979183,1774908821701979183.png,nan,0.0,0.0,0.0
1774908821776970460,1774908821776970460.png,nan,0.0,0.0,0.0
1774908821838671886,1774908821838671886.png,nan,0.0,0.0,0.0
1774908822055490349,1774908822055490349.png,nan,0.0,0.0,0.0
1774908822146031942,1774908822146031942.png,nan,0.0,0.0,0.0
1774908822206734960,1774908822206734960.png,nan,0.0,0.0,0.0
1774908822297354682,1774908822297354682.png,nan,0.0,0.0,0.0
1774908822332606867,1774908822332606867.png,nan,0.0,0.0,0.0
1774908822381914830,1774908822381914830.png,nan,0.0,0.0,0.0
1774908822492389552,1774908822492389552.png,nan,0.0,0.0,0.0
1774908822522016126,1774908822522016126.png,nan,0.0,0.0,0.0
1774908822588769904,1774908822588769904.png,nan,0.0,0.0,0.0
1774908822662211645,1774908822662211645.png,nan,0.0,0.0,0.0
1774908822730236237,1774908822730236237.png,nan,0.0,0.0,0.0
