timestamp_ns,image_filename,range_center_m,aruco_x_norm,cmd_linear_x,cmd_angular_z
1774908911803733370,1774908911803733370.png,nan,nan,0.0,0.0
1774908911832156962,1774908911832156962.png,nan,nan,0.0,0.0
1774908911930901166,1774908911930901166.png,nan,nan,0.0,0.0
1774908911976006314,1774908911976006314.png,nan,nan,0.0,0.0
1774908912037355166,1774908912037355166.png,nan,nan,0.0,0.0
1774908912055811036,1774908912055811036.png,nan,nan,0.0,0.0
1774908912090097962,1774908912090097962.png,nan,nan,0.0,0.0
1774908912130347980,1774908912130347980.png,nan,nan,0.0,0.0
1774908912429493740,1774908912429493740.png,nan,0.0,0.0,0.0
1774908912489848054,1774908912489848054.png,nan,0.0,0.0,0.0
1774908912532917851,1774908912532917851.png,nan,0.0,0.0,0.0
1774908912577491869,1774908912577491869.png,nan,0.0,0.0,0.0
1774908912633840758,1774908912633840758.png,nan,0.0,0.0,0.0
1774908912675104147,1774908912675104147.png,nan,0.0,0.0,0.0
1774908912833180462,1774908912833180462.png,nan,0.0,0.0,0.0
1774908913056473276,1774908913056473276.png,nan,0.0,0.0,0.0
1774908913091557406,1774908913091557406.png,nan,0.0,0.0,0.0
1774908913142122554,1774908913142122554.png,nan,0.0,0.0,0.0
1774908913169882776,1774908913169882776.png,nan,0.0,0.0,0.0
1774908913227611221,1774908913227611221.png,nan,0.0,0.0,0.0
1774908913284202721,1774908913284202721.png,nan,0.0,0.0,0.0
1774908913323072535,1774908913323072535.png,nan,0.0,0.0,0.0
1774908913333728850,1774908913333728850.png,nan,0.0,0.0,0.0
1774908913361066517,1774908913361066517.png,nan,0.0,0.0,0.0
1774908913431182146,1774908913431182146.png,nan,0.0,0.0,0.0
1774908913482683869,1774908913482683869.png,nan,0.0,0.0,0.0
1774908913664591072,1774908913664591072.png,nan,0.0,0.0,0.0
1774908913756217868,1774908913756217868.png,nan,0.0,0.0,0.0
1774908913991788942,1774908913991788942.png,nan,0.0,0.0,0.0
1774908914081954053,1774908914081954053.png,nan,0.0,0.0,0.0
1774908914216696461,1774908914216696461.png,nan,0.0,0.0,0.0
1774908914340499590,1774908914340499590.png,nan,0.0,0.0,0.0
1774908914386724405,1774908914386724405.png,nan,0.0,0.0,0.0
1774908914567117498,1774908914567117498.png,nan,0.0,0.0,0.0
1774908914622057294,1774908914622057294.png,nan,0.0,0.0,0.0
1774908914657032609,1774908914657032609.png,nan,0.0,0.0,0.0
1774908914690507053,1774908914690507053.png,nan,0.0,0.0,0.0
1774908914780865627,1774908914780865627.png,nan,0.0,0.0,0.0
1774908914837350738,1774908914837350738.png,nan,0.0,0.0,0.0
1774908914863920646,1774908914863920646.png,nan,0.0,0.0,0.0
1774908914975570016,1774908914975570016.png,nan,0.0,0.0,0.0
1774908915006287571,1774908915006287571.png,nan,0.0,0.0,0.0
1774908915152480090,1774908915152480090.png,nan,0.0,0.0,0.0
1774908915264096497,1774908915264096497.png,nan,0.0,0.0,0.0
1774908915414320479,1774908915414320479.png,nan,0.0,0.0,0.0
1774908915536683682,1774908915536683682.png,nan,0.0,0.0,0.0
1774908915628094349,1774908915628094349.png,nan,0.0,0.0,0.0
1774908915653156275,1774908915653156275.png,nan,0.0,0.0,0.0
1774908915691430886,1774908915691430886.png,nan,0.0,0.0,0.0
1774908915744662682,1774908915744662682.png,nan,0.0,0.0,0.0
1774908915827214849,1774908915827214849.png,nan,0.0,0.0,0.0
1774908915935575478,1774908915935575478.png,nan,0.0,0.0,0.0
1774908916023111682,1774908916023111682.png,nan,0.0,0.0,0.0
1774908916134027015,1774908916134027015.png,nan,0.0,0.0,0.0
1774908916153135367,1774908916153135367.png,nan,0.0,0.0,0.0
1774908916279281663,1774908916279281663.png,nan,0.0,0.0,0.0
1774908916345414811,1774908916345414811.png,nan,0.0,0.0,0.0
1774908916390772534,1774908916390772534.png,nan,0.0,0.0,0.0
1774908916463153422,1774908916463153422.png,nan,0.0,0.0,0.0
1774908916485646108,1774908916485646108.png,nan,0.0,0.0,0.0
1774908916589027274,1774908916589027274.png,nan,0.0,0.0,0.0
1774908916727487496,1774908916727487496.png,nan,0.0,0.0,0.0
1774908916825490274,1774908916825490274.png,nan,0.0,0.0,0.0
1774908916872790163,1774908916872790163.png,nan,0.0,0.0,0.0
1774908916958091404,1774908916958091404.png,nan,0.0,0.0,0.0
1774908917053759792,1774908917053759792.png,nan,0.0,0.0,0.0
1774908917098878052,1774908917098878052.png,nan,0.0,0.0,0.0
1774908917124412366,1774908917124412366.png,nan,0.0,0.0,0.0
1774908917207998163,1774908917207998163.png,nan,0.0,0.0,0.0
1774908917333206848,1774908917333206848.png,nan,0.0,0.0,0.0
1774908917432653237,1774908917432653237.png,nan,0.0,0.0,0.0
1774908917483480940,1774908917483480940.png,nan,0.0,0.0,0.0
1774908917591725551,1774908917591725551.png,nan,0.0,0.0,0.0
1774908917682919348,1774908917682919348.png,nan,0.0,0.0,0.0
1774908917757044440,1774908917757044440.png,nan,0.0,0.0,0.0
1774908917877345255,1774908917877345255.png,nan,0.0,0.0,0.0
1774908917930122496,1774908917930122496.png,nan,0.0,0.0,0.0
1774908918088856681,1774908918088856681.png,nan,0.0,0.0,0.0
1774908918199020218,1774908918199020218.png,nan,0.0,0.0,0.0
1774908918240631106,1774908918240631106.png,nan,0.0,0.0,0.0
1774908918308822903,1774908918308822903.png,nan,0.0,0.0,0.0
1774908918379318143,1774908918379318143.png,nan,0.0,0.0,0.0
1774908918439884736,1774908918439884736.png,nan,0.0,0.0,0.0
1774908918563844403,1774908918563844403.png,nan,0.0,0.0,0.0
1774908918672801310,1774908918672801310.png,nan,0.0,0.0,0.0
1774908918811639477,1774908918811639477.png,nan,0.0,0.0,0.0
1774908918878603291,1774908918878603291.png,nan,0.0,0.0,0.0
1774908918963327810,1774908918963327810.png,nan,0.0,0.0,0.0
1774908919053716384,1774908919053716384.png,nan,0.0,0.0,0.0
1774908919124318143,1774908919124318143.png,nan,0.0,0.0,0.0
1774908919169083939,1774908919169083939.png,nan,0.0,0.0,0.0
1774908919238174458,1774908919238174458.png,nan,0.0,0.0,0.0
1774908919298742161,1774908919298742161.png,nan,0.0,0.0,0.0
1774908919325582865,1774908919325582865.png,nan,0.0,0.0,0.0
1774908919393224347,1774908919393224347.png,nan,0.0,0.0,0.0
1774908919534630643,1774908919534630643.png,nan,0.0,0.0,0.0
1774908919633825569,1774908919633825569.png,nan,0.0,0.0,0.0
1774908919734495365,1774908919734495365.png,nan,0.0,0.0,0.0
1774908919848622180,1774908919848622180.png,nan,0.0,0.0,0.0
1774908919937088476,1774908919937088476.png,nan,0.0,0.0,0.0
1774908920048548698,1774908920048548698.png,nan,0.0,0.0,0.0
1774908920123047142,1774908920123047142.png,nan,0.0,0.0,0.0
1774908920174852735,1774908920174852735.png,nan,0.0,0.0,0.0
