timestamp_ns,image_filename,range_center_m,aruco_x_norm,cmd_linear_x,cmd_angular_z
1774908961256808840,1774908961256808840.png,nan,0.0,0.0,0.0
1774908961287984229,1774908961287984229.png,nan,0.0,0.0,0.0
1774908961323863599,1774908961323863599.png,nan,0.0,0.0,0.0
1774908961407841914,1774908961407841914.png,nan,0.0,0.0,0.0
1774908961547152488,1774908961547152488.png,nan,0.0,0.0,0.0
1774908961686947321,1774908961686947321.png,nan,0.0,0.0,0.0
1774908961831842951,1774908961831842951.png,nan,0.0,0.0,0.0
1774908961872156451,1774908961872156451.png,nan,0.0,0.0,0.0
1774908961934747266,1774908961934747266.png,nan,0.0,0.0,0.0
1774908961984055340,1774908961984055340.png,nan,0.0,0.0,0.0
1774908962014289173,1774908962014289173.png,nan,0.0,0.0,0.0
1774908962048889321,1774908962048889321.png,nan,0.0,0.0,0.0
1774908962062007117,1774908962062007117.png,nan,0.0,0.0,0.0
1774908962124250099,1774908962124250099.png,nan,0.0,0.0,0.0
1774908962213411840,1774908962213411840.png,nan,0.0,0.0,0.0
1774908962248844802,1774908962248844802.png,nan,0.0,0.0,0.0
1774908962335205099,1774908962335205099.png,nan,0.0,0.0,0.0
1774908962377924339,1774908962377924339.png,nan,0.0,0.0,0.0
1774908962488137247,1774908962488137247.png,nan,0.0,0.0,0.0
1774908962557407543,1774908962557407543.png,nan,0.0,0.0,0.0
1774908962658554710,1774908962658554710.png,nan,0.0,0.0,0.0
1774908962786113598,1774908962786113598.png,nan,0.0,0.0,0.0
1774908962905158598,1774908962905158598.png,nan,0.0,0.0,0.0
1774908962972659932,1774908962972659932.png,nan,0.0,0.0,0.0
1774908962989769339,1774908962989769339.png,nan,0.0,0.0,0.0
1774908963044672765,1774908963044672765.png,nan,0.0,0.0,0.0
1774908963059097395,1774908963059097395.png,nan,0.0,0.0,0.0
1774908963075741913,1774908963075741913.png,nan,0.0,0.0,0.0
1774908963130840395,1774908963130840395.png,nan,0.0,0.0,0.0
1774908963194845450,1774908963194845450.png,nan,0.0,0.0,0.0
1774908963258903598,1774908963258903598.png,nan,0.0,0.0,0.0
1774908963329783320,1774908963329783320.png,nan,0.0,0.0,0.0
1774908963511812024,1774908963511812024.png,nan,0.0,0.0,0.0
1774908963592976228,1774908963592976228.png,nan,0.0,0.0,0.0
1774908963703979635,1774908963703979635.png,nan,0.0,0.0,0.0
1774908963751381913,1774908963751381913.png,nan,0.0,0.0,0.0
1774908963830190783,1774908963830190783.png,nan,0.0,0.0,0.0
1774908963889227172,1774908963889227172.png,nan,0.0,0.0,0.0
1774908963961698709,1774908963961698709.png,nan,0.0,0.0,0.0
1774908964026234338,1774908964026234338.png,nan,0.0,0.0,0.0
1774908964126540153,1774908964126540153.png,nan,0.0,0.0,0.0
1774908964188402227,1774908964188402227.png,nan,0.0,0.0,0.0
1774908964224426412,1774908964224426412.png,nan,0.0,0.0,0.0
1774908964327973838,1774908964327973838.png,nan,0.0,0.0,0.0
